t,amplitude
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,5.877852522924731371e-01
2.000000000000000042e-03,9.510565162951535312e-01
3.000000000000000062e-03,9.510565162951535312e-01
4.000000000000000083e-03,5.877852522924732481e-01
5.000000000000000104e-03,1.224646799147353207e-16
6.000000000000000125e-03,-5.877852522924733591e-01
7.000000000000000146e-03,-9.510565162951535312e-01
8.000000000000000167e-03,-9.510565162951536422e-01
8.999999999999999320e-03,-5.877852522924733591e-01
1.000000000000000021e-02,-2.449293598294706414e-16
1.099999999999999936e-02,5.877852522924729151e-01
1.200000000000000025e-02,9.510565162951537532e-01
1.299999999999999940e-02,9.510565162951536422e-01
1.400000000000000029e-02,5.877852522924733591e-01
1.499999999999999944e-02,3.673940397442059375e-16
1.600000000000000033e-02,-5.877852522924728040e-01
1.700000000000000122e-02,-9.510565162951539753e-01
1.799999999999999864e-02,-9.510565162951537532e-01
1.899999999999999953e-02,-5.877852522924734702e-01
2.000000000000000042e-02,-4.898587196589412829e-16
2.100000000000000130e-02,5.877852522924741363e-01
2.199999999999999872e-02,9.510565162951534202e-01
2.299999999999999961e-02,9.510565162951537532e-01
2.400000000000000050e-02,5.877852522924721379e-01
2.500000000000000139e-02,-1.164033439826573935e-15
2.599999999999999881e-02,-5.877852522924725820e-01
2.699999999999999969e-02,-9.510565162951534202e-01
2.800000000000000058e-02,-9.510565162951537532e-01
2.900000000000000147e-02,-5.877852522924736922e-01
2.999999999999999889e-02,-7.347880794884118750e-16
3.099999999999999978e-02,5.877852522924724710e-01
3.200000000000000067e-02,9.510565162951533091e-01
3.300000000000000155e-02,9.510565162951527540e-01
3.400000000000000244e-02,5.877852522924709167e-01
3.500000000000000333e-02,-2.695460919397353709e-15
3.599999999999999728e-02,-5.877852522924724710e-01
3.699999999999999817e-02,-9.510565162951533091e-01
3.799999999999999906e-02,-9.510565162951538642e-01
3.899999999999999994e-02,-5.877852522924739143e-01
4.000000000000000083e-02,-9.797174393178825657e-16
4.100000000000000172e-02,5.877852522924751355e-01
4.200000000000000261e-02,9.510565162951543083e-01
4.299999999999999656e-02,9.510565162951538642e-01
4.399999999999999745e-02,5.877852522924740253e-01
4.499999999999999833e-02,1.102182119232617911e-15
4.599999999999999922e-02,-5.877852522924722489e-01
4.700000000000000011e-02,-9.510565162951531981e-01
4.800000000000000100e-02,-9.510565162951528650e-01
4.900000000000000189e-02,-5.877852522924712497e-01
5.000000000000000278e-02,2.328066879653147870e-15
5.099999999999999672e-02,5.877852522924692513e-01
5.199999999999999761e-02,9.510565162951531981e-01
5.299999999999999850e-02,9.510565162951528650e-01
5.399999999999999939e-02,5.877852522924742473e-01
5.500000000000000028e-02,-2.205602199738412328e-15
5.600000000000000117e-02,-5.877852522924720269e-01
5.700000000000000205e-02,-9.510565162951541973e-01
5.800000000000000294e-02,-9.510565162951539753e-01
5.899999999999999689e-02,-5.877852522924771339e-01
5.999999999999999778e-02,-1.469576158976823750e-15
6.099999999999999867e-02,5.877852522924748024e-01
6.199999999999999956e-02,9.510565162951530871e-01
6.300000000000000044e-02,9.510565162951529761e-01
6.400000000000000133e-02,5.877852522924744694e-01
6.500000000000000222e-02,-1.960672839908941637e-15
6.600000000000000311e-02,-5.877852522924775780e-01
6.700000000000000400e-02,-9.510565162951541973e-01
6.800000000000000488e-02,-9.510565162951518658e-01
6.900000000000000577e-02,-5.877852522924715828e-01
7.000000000000000666e-02,5.390921838794707418e-15
7.099999999999999367e-02,5.877852522924688072e-01
7.199999999999999456e-02,9.510565162951529761e-01
7.299999999999999545e-02,9.510565162951551965e-01
7.399999999999999634e-02,5.877852522924745804e-01
7.499999999999999722e-02,-1.715743480079471143e-15
7.599999999999999811e-02,-5.877852522924715828e-01
7.699999999999999900e-02,-9.510565162951540863e-01
7.799999999999999989e-02,-9.510565162951541973e-01
7.900000000000000078e-02,-5.877852522924718048e-01
8.000000000000000167e-02,-1.959434878635765131e-15
8.100000000000000255e-02,5.877852522924744694e-01
8.200000000000000344e-02,9.510565162951551965e-01
8.300000000000000433e-02,9.510565162951530871e-01
8.400000000000000522e-02,5.877852522924690293e-01
8.500000000000000611e-02,-1.470814120250000453e-15
8.599999999999999312e-02,-5.877852522924714718e-01
8.699999999999999400e-02,-9.510565162951518658e-01
8.799999999999999489e-02,-9.510565162951541973e-01
8.899999999999999578e-02,-5.877852522924778000e-01
8.999999999999999667e-02,-2.204364238465235822e-15
9.099999999999999756e-02,5.877852522924742473e-01
9.199999999999999845e-02,9.510565162951528650e-01
9.299999999999999933e-02,9.510565162951531981e-01
9.400000000000000022e-02,5.877852522924750245e-01
9.500000000000000111e-02,-1.225884760420529959e-15
9.600000000000000200e-02,-5.877852522924770229e-01
9.700000000000000289e-02,-9.510565162951539753e-01
9.800000000000000377e-02,-9.510565162951520879e-01
9.900000000000000466e-02,-5.877852522924722489e-01
1.000000000000000056e-01,4.656133759306295740e-15
1.010000000000000064e-01,5.877852522924740253e-01
1.019999999999999934e-01,9.510565162951506446e-01
1.029999999999999943e-01,9.510565162951554186e-01
1.039999999999999952e-01,5.877852522924751355e-01
1.049999999999999961e-01,-9.809554005910592682e-16
1.059999999999999970e-01,-5.877852522924768008e-01
1.069999999999999979e-01,-9.510565162951516438e-01
1.079999999999999988e-01,-9.510565162951544194e-01
1.089999999999999997e-01,-5.877852522924724710e-01
1.100000000000000006e-01,4.411204399476824655e-15
1.110000000000000014e-01,5.877852522924795764e-01
1.120000000000000023e-01,9.510565162951527540e-01
1.130000000000000032e-01,9.510565162951533091e-01
1.140000000000000041e-01,5.877852522924696954e-01
1.150000000000000050e-01,-7.841453398362591225e-15
1.160000000000000059e-01,-5.877852522924708056e-01
1.170000000000000068e-01,-9.510565162951537532e-01
1.179999999999999938e-01,-9.510565162951566398e-01
1.189999999999999947e-01,-5.877852522924783552e-01
1.199999999999999956e-01,-2.939152317953647500e-15
1.209999999999999964e-01,5.877852522924735812e-01
1.219999999999999973e-01,9.510565162951548634e-01
1.229999999999999982e-01,9.510565162951556406e-01
1.239999999999999991e-01,5.877852522924755796e-01
1.250000000000000000e-01,-4.910966809321179854e-16
1.260000000000000009e-01,-5.877852522924763568e-01
1.270000000000000018e-01,-9.510565162951558627e-01
1.280000000000000027e-01,-9.510565162951545304e-01
1.290000000000000036e-01,-5.877852522924728040e-01
1.300000000000000044e-01,3.921345679817883274e-15
1.310000000000000053e-01,5.877852522924791323e-01
1.320000000000000062e-01,9.510565162951569729e-01
1.330000000000000071e-01,9.510565162951535312e-01
1.340000000000000080e-01,5.877852522924700285e-01
1.350000000000000089e-01,-7.351594678703649055e-15
1.360000000000000098e-01,-5.877852522924819079e-01
1.370000000000000107e-01,-9.510565162951536422e-01
1.380000000000000115e-01,-9.510565162951524210e-01
1.390000000000000124e-01,-5.877852522924672529e-01
1.400000000000000133e-01,1.078184367758941484e-14
1.409999999999999865e-01,5.877852522924617018e-01
1.419999999999999873e-01,9.510565162951503115e-01
1.429999999999999882e-01,9.510565162951557516e-01
1.439999999999999891e-01,5.877852522924760237e-01
1.449999999999999900e-01,-1.237961273176715411e-18
1.459999999999999909e-01,-5.877852522924644774e-01
1.469999999999999918e-01,-9.510565162951513107e-01
1.479999999999999927e-01,-9.510565162951546414e-01
1.489999999999999936e-01,-5.877852522924732481e-01
1.499999999999999944e-01,3.431486960158942286e-15
1.509999999999999953e-01,5.877852522924672529e-01
1.519999999999999962e-01,9.510565162951524210e-01
1.529999999999999971e-01,9.510565162951536422e-01
1.539999999999999980e-01,5.877852522924704726e-01
1.549999999999999989e-01,-6.861735959044707673e-15
